2026-07-02 00:03:07 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18298305876, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJad8d0e17ae6526667b1e8c', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782930787637}
2026-07-02 00:03:35 | ERROR    | trading_bot | Auto-trading API error: No module named 'bot.cli'
2026-07-02 00:03:40 | ERROR    | trading_bot | Auto-trading API error: No module named 'bot.cli'
2026-07-02 00:05:31 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:05:41 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-02 00:21:28 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:22:57 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:23:11 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-02 00:25:00 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:25:00 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-02 00:25:01 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-02 00:25:01 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-02 00:25:01 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-02 00:25:02 | INFO     | trading_bot | Order response: orderId=18302093610 status=NEW executedQty=0.0000 avgPrice=None
2026-07-02 00:25:02 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18302093610, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ97191563d8a26a9d5aac76', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782932102399}
2026-07-02 00:25:07 | INFO     | trading_bot | Auto-trading stopped by user
